Date,Close
10/1/2012,1.6131
10/2/2012,1.613
10/3/2012,1.6092
10/4/2012,1.6191
10/5/2012,1.6131
10/6/2012,1.6132
10/7/2012,1.6132
10/8/2012,1.6019
10/9/2012,1.59972
10/10/2012,1.6
10/11/2012,1.6045
10/12/2012,1.6069
10/13/2012,1.6069
10/14/2012,1.6068
10/15/2012,1.607
10/16/2012,1.61151
10/17/2012,1.6139
10/18/2012,1.6056
10/19/2012,1.6004
10/20/2012,1.6005
10/21/2012,1.6
10/22/2012,1.6014
10/23/2012,1.5947
10/24/2012,1.603
10/25/2012,1.6119
10/26/2012,1.6104
10/27/2012,1.6102
10/28/2012,1.6082
10/29/2012,1.603
10/30/2012,1.6072
10/31/2012,1.6131
11/1/2012,1.6131
11/2/2012,1.6023
11/3/2012,1.6031
11/4/2012,1.6018
11/5/2012,1.59844
11/6/2012,1.59908
11/7/2012,1.5978
11/8/2012,1.5976
11/9/2012,1.5894
11/10/2012,1.5894
11/11/2012,1.5891
11/12/2012,1.5874
11/13/2012,1.5873
11/14/2012,1.584
11/15/2012,1.5861
11/16/2012,1.5882
11/17/2012,1.5886
11/18/2012,1.59026
11/19/2012,1.58957
11/20/2012,1.5924
11/21/2012,1.59664
11/22/2012,1.5935
11/23/2012,1.603
11/24/2012,1.6029
11/25/2012,1.6024
11/26/2012,1.60305
11/27/2012,1.6019
11/28/2012,1.6013
11/29/2012,1.6034
11/30/2012,1.6009
12/1/2012,1.6015
12/2/2012,1.60202
12/3/2012,1.60968
12/4/2012,1.60994
12/5/2012,1.60901
12/6/2012,1.6048
12/7/2012,1.6034
12/8/2012,1.6033
12/9/2012,1.6032
12/10/2012,1.6072
12/11/2012,1.61165
12/12/2012,1.6133
12/13/2012,1.61129
12/14/2012,1.6167
12/15/2012,1.6166
12/16/2012,1.6175
12/17/2012,1.6201
12/18/2012,1.62472
12/19/2012,1.6248
12/20/2012,1.627
12/21/2012,1.6164
12/22/2012,1.6164
12/23/2012,1.6155
12/24/2012,1.6125
12/25/2012,1.6136
12/26/2012,1.6126
12/27/2012,1.6115
12/28/2012,1.6168
12/29/2012,1.615
12/30/2012,1.6162
12/31/2012,1.6236
1/1/2013,1.6243
1/2/2013,1.6237
1/3/2013,1.6076
1/4/2013,1.6068
1/5/2013,1.6065
1/6/2013,1.60658
1/7/2013,1.61235
1/8/2013,1.60576
1/9/2013,1.60133
1/10/2013,1.6163
1/11/2013,1.6126
1/12/2013,1.613
1/13/2013,1.6123
1/14/2013,1.60748
1/15/2013,1.6069
1/16/2013,1.5997
1/17/2013,1.59784
1/18/2013,1.5861
1/19/2013,1.5863
1/20/2013,1.58544
1/21/2013,1.5836
1/22/2013,1.5836
1/23/2013,1.5829
1/24/2013,1.5783
1/25/2013,1.5802
1/26/2013,1.5801
1/27/2013,1.5776
1/28/2013,1.5695
1/29/2013,1.57471
1/30/2013,1.5796
1/31/2013,1.5866
2/1/2013,1.5694
2/2/2013,1.5694
2/3/2013,1.5702
2/4/2013,1.5755
2/5/2013,1.5662
2/6/2013,1.566
2/7/2013,1.57112
2/8/2013,1.58
2/9/2013,1.58
2/10/2013,1.5799
2/11/2013,1.565
2/12/2013,1.5676
2/13/2013,1.5531
2/14/2013,1.54901
2/15/2013,1.5512
2/16/2013,1.5513
2/17/2013,1.5478
2/18/2013,1.5479
2/19/2013,1.5424
2/20/2013,1.5226
2/21/2013,1.52586
2/22/2013,1.516
2/23/2013,1.5163
2/24/2013,1.51
2/25/2013,1.516
2/26/2013,1.5127
2/27/2013,1.5163
2/28/2013,1.5161
3/1/2013,1.5037
3/2/2013,1.5036
3/3/2013,1.5034
3/4/2013,1.5132
3/5/2013,1.5133
3/6/2013,1.4993
3/7/2013,1.5024
3/8/2013,1.4923
3/9/2013,1.4922
3/10/2013,1.4907
3/11/2013,1.49023
3/12/2013,1.4902
3/13/2013,1.49233
3/14/2013,1.50879
3/15/2013,1.5112
3/16/2013,1.511
3/17/2013,1.51137
3/18/2013,1.5094
3/19/2013,1.5093
3/20/2013,1.5091
3/21/2013,1.518
3/22/2013,1.5228
3/23/2013,1.5228
3/24/2013,1.525
3/25/2013,1.5176
3/26/2013,1.516
3/27/2013,1.51285
3/28/2013,1.5195
3/29/2013,1.5192
3/30/2013,1.5192
3/31/2013,1.5194
4/1/2013,1.5225
4/2/2013,1.5103
4/3/2013,1.513
4/4/2013,1.5232
4/5/2013,1.5221
4/6/2013,1.5221
4/7/2013,1.5342
4/8/2013,1.5255
4/9/2013,1.53172
4/10/2013,1.53219
4/11/2013,1.5385
4/12/2013,1.5342
4/13/2013,1.5343
4/14/2013,1.5345
4/15/2013,1.52915
4/16/2013,1.536
4/17/2013,1.5237
4/18/2013,1.5287
4/19/2013,1.5228
4/20/2013,1.523
4/21/2013,1.5228
4/22/2013,1.5291
4/23/2013,1.5235
4/24/2013,1.5269
4/25/2013,1.5435
4/26/2013,1.5478
4/27/2013,1.5478
4/28/2013,1.5481
4/29/2013,1.5492
4/30/2013,1.55302
5/1/2013,1.55694
5/2/2013,1.55341
5/3/2013,1.5572
5/4/2013,1.5572
5/5/2013,1.55633
5/6/2013,1.5534
5/7/2013,1.54793
5/8/2013,1.554
5/9/2013,1.54493
5/10/2013,1.5373
5/11/2013,1.5363
5/12/2013,1.5355
5/13/2013,1.5298
5/14/2013,1.5217
5/15/2013,1.5224
5/16/2013,1.52767
5/17/2013,1.5169
5/18/2013,1.5169
5/19/2013,1.5179
5/20/2013,1.5268
5/21/2013,1.5156
5/22/2013,1.5041
5/23/2013,1.5104
5/24/2013,1.5125
5/25/2013,1.5125
5/26/2013,1.5129
5/27/2013,1.51059
5/28/2013,1.5032
5/29/2013,1.5122
5/30/2013,1.5233
5/31/2013,1.5198
6/1/2013,1.519
6/2/2013,1.51943
6/3/2013,1.53173
6/4/2013,1.53094
6/5/2013,1.5404
6/6/2013,1.5595
6/7/2013,1.55553
6/8/2013,1.5557
6/9/2013,1.55271
6/10/2013,1.557
6/11/2013,1.56419
6/12/2013,1.56796
6/13/2013,1.57108
6/14/2013,1.5705
6/15/2013,1.5705
6/16/2013,1.572
6/17/2013,1.5715
6/18/2013,1.5634
6/19/2013,1.5477
6/20/2013,1.5508
6/21/2013,1.54151
6/22/2013,1.5417
6/23/2013,1.53887
6/24/2013,1.5443
6/25/2013,1.5413
6/26/2013,1.5323
6/27/2013,1.52569
6/28/2013,1.52103
6/29/2013,1.5211
6/30/2013,1.5202
7/1/2013,1.5212
7/2/2013,1.5151
7/3/2013,1.5271
7/4/2013,1.5057
7/5/2013,1.4889
7/6/2013,1.4889
7/7/2013,1.4875
7/8/2013,1.495
7/9/2013,1.48585
7/10/2013,1.5164
7/11/2013,1.5175
7/12/2013,1.5109
7/13/2013,1.5109
7/14/2013,1.51
7/15/2013,1.5096
7/16/2013,1.5142
7/17/2013,1.52051
7/18/2013,1.522
7/19/2013,1.5268
7/20/2013,1.5268
7/21/2013,1.52649
7/22/2013,1.5358
7/23/2013,1.53719
7/24/2013,1.5315
7/25/2013,1.5392
7/26/2013,1.5382
7/27/2013,1.5382
7/28/2013,1.53914
7/29/2013,1.5337
7/30/2013,1.5234
7/31/2013,1.5178
8/1/2013,1.5116
8/2/2013,1.52837
8/3/2013,1.5286
8/4/2013,1.52846
8/5/2013,1.53444
8/6/2013,1.5346
8/7/2013,1.549
8/8/2013,1.55359
8/9/2013,1.55034
8/10/2013,1.5505
8/11/2013,1.5506
8/12/2013,1.5453
8/13/2013,1.54448
8/14/2013,1.5505
8/15/2013,1.5636
8/16/2013,1.5627
8/17/2013,1.5627
8/18/2013,1.562
8/19/2013,1.56479
8/20/2013,1.56643
