Date,Close
12/29/2014,73.97
12/30/2014,73.61
12/31/2014,72.85
1/2/2015,72.84
1/5/2015,71.51
1/6/2015,70.88
1/7/2015,71.72
1/8/2015,73.01
1/9/2015,72.39
1/12/2015,71.81
1/13/2015,71.63
1/14/2015,71.22
1/15/2015,70.56
1/16/2015,71.51
1/20/2015,71.62
1/21/2015,71.97
1/22/2015,73.07
1/23/2015,72.67
1/26/2015,72.85
1/27/2015,71.88
1/28/2015,70.91
1/29/2015,71.6
1/30/2015,70.67
2/2/2015,71.58
2/3/2015,72.62
2/4/2015,72.34
2/5/2015,73.1
2/6/2015,72.87
2/9/2015,72.56
2/10/2015,73.34
2/11/2015,73.36
2/12/2015,74.09
2/13/2015,74.4
2/17/2015,74.53
2/18/2015,74.51
2/19/2015,74.44
2/20/2015,74.9
2/23/2015,74.88
2/24/2015,75.09
2/25/2015,75.05
2/26/2015,74.95
2/27/2015,74.73
3/2/2015,75.19
3/3/2015,74.85
3/4/2015,74.53
3/5/2015,74.63
3/6/2015,73.58
3/9/2015,73.88
3/10/2015,72.63
3/11/2015,72.5
3/12/2015,73.43
3/13/2015,72.99
3/16/2015,73.97
3/17/2015,73.73
3/18/2015,74.63
3/19/2015,74.27
3/20/2015,74.93
3/23/2015,74.8
3/24/2015,74.35
3/25/2015,73.27
3/26/2015,73.1
3/27/2015,73.28
3/30/2015,74.19
3/31/2015,73.54
4/1/2015,72.93
4/2/2015,73.19
4/6/2015,73.68
4/7/2015,73.53
4/8/2015,73.75
4/9/2015,74.08
4/10/2015,74.2
4/13/2015,73.86
4/14/2015,73.98
4/15/2015,74.36
4/16/2015,74.31
4/17/2015,73.47
4/20/2015,74.15
4/21/2015,74.04
4/22/2015,74.42
4/23/2015,74.6
4/24/2015,74.77
4/27/2015,74.46
4/28/2015,74.67
4/29/2015,74.4
4/30/2015,73.65
5/1/2015,74.45
5/4/2015,74.67
5/5/2015,73.79
5/6/2015,73.49
5/7/2015,73.79
5/8/2015,74.78
5/11/2015,74.42
5/12/2015,74.21
5/13/2015,74.2
5/14/2015,75
5/15/2015,75.07
5/18/2015,75.3
5/19/2015,75.27
5/20/2015,75.21
5/21/2015,75.39
5/22/2015,75.23
5/26/2015,74.46
5/27/2015,75.15
5/28/2015,75.07
5/29/2015,74.59
6/1/2015,74.76
6/2/2015,74.68
6/3/2015,74.86
6/4/2015,74.21
6/5/2015,74.11
6/8/2015,73.64
6/9/2015,73.67
6/10/2015,74.57
6/11/2015,74.72
6/12/2015,74.2
6/15/2015,73.86
6/16/2015,74.28
6/17/2015,74.43
6/18/2015,75.17
6/19/2015,74.77
6/22/2015,75.23
6/23/2015,75.29
6/24/2015,74.73
6/25/2015,74.52
6/26/2015,74.5
6/29/2015,72.96
6/30/2015,73.16
7/1/2015,73.24
7/2/2015,73.21
7/6/2015,72.93
7/7/2015,73.38
7/8/2015,72.18
7/9/2015,72.34
7/10/2015,73.23
7/13/2015,74.05
7/14/2015,74.38
7/15/2015,74.33
7/16/2015,74.92
7/17/2015,75.01
7/20/2015,75.07
7/21/2015,74.75
7/22/2015,74.58
7/23/2015,74.16
7/24/2015,73.37
7/27/2015,72.94
7/28/2015,73.85
7/29/2015,74.4
7/30/2015,74.4
7/31/2015,74.24
8/3/2015,74.03
8/4/2015,73.87
8/5/2015,74.12
8/6/2015,73.57
8/7/2015,73.36
8/10/2015,74.3
8/11/2015,73.61
8/12/2015,73.69
8/13/2015,73.61
8/14/2015,73.9
8/17/2015,74.3
8/18/2015,74.12
8/19/2015,73.51
8/20/2015,71.96
8/21/2015,69.68
8/24/2015,66.92
8/25/2015,66.03
8/26/2015,68.61
8/27/2015,70.29
8/28/2015,70.34
8/31/2015,69.76
9/1/2015,67.7
9/2/2015,68.95
9/3/2015,69.03
9/4/2015,67.98
9/8/2015,69.69
9/9/2015,68.73
9/10/2015,69.1
9/11/2015,69.43
9/14/2015,69.15
9/15/2015,70.04
9/16/2015,70.65
9/17/2015,70.48
9/18/2015,69.34
9/21/2015,69.66
9/22/2015,68.8
9/23/2015,68.66
9/24/2015,68.43
9/25/2015,68.4
9/28/2015,66.67
9/29/2015,66.75
9/30/2015,68.03
10/1/2015,68.17
10/2/2015,68.78
10/5/2015,70.04
10/6/2015,69.79
10/7/2015,70.38
10/8/2015,71.01
10/9/2015,71.06
10/12/2015,71.15
10/13/2015,70.67
10/14/2015,70.34
10/15/2015,71.39
10/16/2015,71.72
10/19/2015,71.74
10/20/2015,71.63
10/21/2015,71.23
10/22/2015,72.42
10/23/2015,73.22
10/26/2015,73.07
10/27/2015,72.89
10/28/2015,73.76
10/29/2015,73.73
10/30/2015,73.38
11/2/2015,74.25
11/3/2015,74.45
11/4/2015,74.21
11/5/2015,74.15
11/6/2015,74.13
11/9/2015,73.42
11/10/2015,73.55
11/11/2015,73.31
11/12/2015,72.3
11/13/2015,71.49
11/16/2015,72.56
11/17/2015,72.48
11/18/2015,73.66
11/19/2015,73.58
11/20/2015,73.87
11/23/2015,73.78
11/24/2015,73.88
11/25/2015,73.88
11/27/2015,73.94
11/30/2015,73.6
12/1/2015,74.39
12/2/2015,73.59
12/3/2015,72.53
12/4/2015,74.02
12/7/2015,73.51
12/8/2015,73.04
12/9/2015,72.48
12/10/2015,72.65
12/11/2015,71.25
12/14/2015,71.59
12/15/2015,72.36
12/16/2015,73.41
12/17/2015,72.31
12/18/2015,70.41
12/21/2015,70.97
12/22/2015,71.6
12/23/2015,72.5
12/24/2015,72.38
12/28/2015,72.22
12/29/2015,73.01
12/30/2015,72.49
12/31/2015,71.8
1/4/2016,70.72
1/5/2016,70.86
1/6/2016,69.96
1/7/2016,68.3
1/8/2016,67.56
1/11/2016,67.62
1/12/2016,68.15
1/13/2016,66.45
1/14/2016,67.57
1/15/2016,66.11
1/19/2016,66.14
1/20/2016,65.38
1/21/2016,65.72
1/22/2016,67.06
1/25/2016,66.01
1/26/2016,66.94
1/27/2016,66.22
1/28/2016,66.59
1/29/2016,68.24
2/1/2016,68.21
2/2/2016,66.94
2/3/2016,67.3
2/4/2016,67.41
2/5/2016,66.17
2/8/2016,65.24
2/9/2016,65.21
2/10/2016,65.22
2/11/2016,64.43
2/12/2016,65.69
2/16/2016,66.8
2/17/2016,67.91
2/18/2016,67.59
2/19/2016,67.6
2/22/2016,68.58
2/23/2016,67.73
2/24/2016,68.04
2/25/2016,68.82
2/26/2016,68.7
