Date,Close
6/4/2014,30.34
6/5/2014,30.54
6/6/2014,30.69
6/9/2014,30.72
6/10/2014,30.71
6/11/2014,30.61
6/12/2014,30.4
6/13/2014,30.49
6/16/2014,30.52
6/17/2014,30.59
6/18/2014,30.82
6/19/2014,30.86
6/20/2014,30.92
6/23/2014,30.91
6/24/2014,30.72
6/25/2014,30.87
6/26/2014,30.84
6/27/2014,30.9
6/30/2014,30.89
7/1/2014,31.1
7/2/2014,31.12
7/3/2014,31.29
7/7/2014,31.17
7/8/2014,30.96
7/9/2014,31.11
7/10/2014,30.98
7/11/2014,31.03
7/14/2014,31.18
7/15/2014,31.12
7/16/2014,31.25
7/17/2014,30.88
7/18/2014,31.2
7/21/2014,31.13
7/22/2014,31.28
7/23/2014,31.34
7/24/2014,31.35
7/25/2014,31.2
7/28/2014,31.21
7/29/2014,31.07
7/30/2014,31.08
7/31/2014,30.46
8/1/2014,30.37
8/4/2014,30.59
8/5/2014,30.3
8/6/2014,30.31
8/7/2014,30.15
8/8/2014,30.49
8/11/2014,30.58
8/12/2014,30.54
8/13/2014,30.75
8/14/2014,30.88
8/15/2014,30.88
8/18/2014,31.15
8/19/2014,31.31
8/20/2014,31.39
8/21/2014,31.48
8/22/2014,31.43
8/25/2014,31.57
8/26/2014,31.61
8/27/2014,31.62
8/28/2014,31.57
8/29/2014,31.67
9/2/2014,31.66
9/3/2014,31.64
9/4/2014,31.59
9/5/2014,31.75
9/8/2014,31.66
9/9/2014,31.45
9/10/2014,31.57
9/11/2014,31.61
9/12/2014,31.42
9/15/2014,31.4
9/16/2014,31.63
9/17/2014,31.67
9/18/2014,31.83
9/19/2014,31.82
9/22/2014,31.56
9/23/2014,31.38
9/24/2014,31.63
9/25/2014,31.12
9/26/2014,31.39
9/29/2014,31.31
9/30/2014,31.23
10/1/2014,30.82
10/2/2014,30.82
10/3/2014,31.16
10/6/2014,31.12
10/7/2014,30.65
10/8/2014,31.19
10/9/2014,30.55
10/10/2014,30.2
10/13/2014,29.71
10/14/2014,29.76
10/15/2014,29.51
10/16/2014,29.52
10/17/2014,29.9
10/20/2014,30.17
10/21/2014,30.76
10/22/2014,30.54
10/23/2014,30.92
10/24/2014,31.14
10/27/2014,31.09
10/28/2014,31.46
10/29/2014,31.42
10/30/2014,31.62
10/31/2014,31.99
11/3/2014,31.98
11/4/2014,31.89
11/5/2014,32.08
11/6/2014,32.22
11/7/2014,32.23
11/10/2014,32.33
11/11/2014,32.36
11/12/2014,32.34
11/13/2014,32.36
11/14/2014,32.37
11/17/2014,32.4
11/18/2014,32.57
11/19/2014,32.53
11/20/2014,32.59
11/21/2014,32.77
11/24/2014,32.86
11/25/2014,32.83
11/26/2014,32.92
11/28/2014,32.84
12/1/2014,32.62
12/2/2014,32.83
12/3/2014,32.96
12/4/2014,32.93
12/5/2014,32.98
12/8/2014,32.75
12/9/2014,32.74
12/10/2014,32.21
12/11/2014,32.36
12/12/2014,31.84
