Date,Close
10/1/2012,78.011
10/2/2012,78.164
10/3/2012,78.479
10/4/2012,78.449
10/5/2012,78.67
10/6/2012,78.62
10/7/2012,78.693
10/8/2012,78.34
10/9/2012,78.243
10/10/2012,78.102
10/11/2012,78.38
10/12/2012,78.44
10/13/2012,78.35
10/14/2012,78.43
10/15/2012,78.717
10/16/2012,78.865
10/17/2012,79.104
10/18/2012,79.322
10/19/2012,79.33
10/20/2012,79.3
10/21/2012,79.22
10/22/2012,79.92
10/23/2012,79.86
10/24/2012,79.83
10/25/2012,80.3
10/26/2012,79.64
10/27/2012,79.64
10/28/2012,79.63
10/29/2012,79.77
10/30/2012,79.66
10/31/2012,79.851
11/1/2012,80.201
11/2/2012,80.44
11/3/2012,80.46
11/4/2012,80.5
11/5/2012,80.167
11/6/2012,80.3
11/7/2012,79.93
11/8/2012,79.48
11/9/2012,79.47
11/10/2012,79.49
11/11/2012,79.47
11/12/2012,79.6
11/13/2012,79.465
11/14/2012,80.206
11/15/2012,81.124
11/16/2012,81.3
11/17/2012,81.34
11/18/2012,81.412
11/19/2012,81.36
11/20/2012,81.713
11/21/2012,82.56
11/22/2012,82.37
11/23/2012,82.39
11/24/2012,82.39
11/25/2012,82.515
11/26/2012,81.877
11/27/2012,82.08
11/28/2012,82.16
11/29/2012,82.162
11/30/2012,82.46
12/1/2012,82.51
12/2/2012,82.433
12/3/2012,82.154
12/4/2012,81.838
12/5/2012,82.46
12/6/2012,82.42
12/7/2012,82.5
12/8/2012,82.48
12/9/2012,82.545
12/10/2012,82.358
12/11/2012,82.552
12/12/2012,83.225
12/13/2012,83.65
12/14/2012,83.51
12/15/2012,83.47
12/16/2012,84.169
12/17/2012,83.91
12/18/2012,84.34
12/19/2012,84.253
12/20/2012,84.411
12/21/2012,84.23
12/22/2012,84.23
12/23/2012,84.408
12/24/2012,84.83
12/25/2012,85.03
12/26/2012,85.612
12/27/2012,86.46
12/28/2012,85.95
12/29/2012,85.98
12/30/2012,85.944
12/31/2012,86.72
1/1/2013,86.634
1/2/2013,87.28
1/3/2013,87.712
1/4/2013,88.15
1/5/2013,88.14
1/6/2013,88.243
1/7/2013,87.27
1/8/2013,86.856
1/9/2013,88.145
1/10/2013,89.264
1/11/2013,89.19
1/12/2013,89.17
1/13/2013,89.516
1/14/2013,89.46
1/15/2013,88.772
1/16/2013,88.652
1/17/2013,89.909
